,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
327,acer,Swift Go 14,Unknown,512.0,16.0,Windows 11 Home,74.99,Integrated,3.0,3745.0
328,Sounce,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,99.0,Integrated,4.0,3745.0
329,amazon basics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,999.0,Integrated,4.1,3745.0
330,THEMISTO - built with passion,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,249.0,Integrated,4.0,3745.0
331,BARROT,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,399.0,Integrated,4.1,3745.0
332,Storite,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,298.0,Integrated,4.0,3745.0
333,Lenovo,ADP-45DW H,Core i3,512.0,16.0,Windows 11 Home,1.049,Integrated,4.2,3745.0
334,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,3.9,3745.0
335,Tukzer,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,449.0,Integrated,4.1,3745.0
336,MSI,Cyborg 15 AI,Core i7,1000.0,16.0,Windows 11 Home,95.161,PCI Express,3.1,3745.0
337,Lenovo,LOQ,Intel Core i5,512.0,16.0,Windows 11,86.99,PCI Express,4.1,3745.0
338,amazon basics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,449.0,Integrated,4.4,3745.0
339,Tukzer,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,4.4,3745.0
340,Laplife,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,539.0,Integrated,3.5,3745.0
341,Portronics,HP Laptop,Core i3,512.0,16.0,Windows,578.0,Integrated,4.2,3745.0
342,Portronics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,548.0,Integrated,3.9,3745.0
343,amazon basics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,319.0,Integrated,4.2,3745.0
344,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,989.0,Integrated,4.4,3745.0
345,Sounce,HP Laptop,Core i3,512.0,16.0,"Linux, Windows, Mac OS",1.399,Integrated,4.0,3745.0
346,Lenovo,LOQ,Ryzen 7,512.0,16.0,Windows 11 Home,90.99,PCI Express,4.3,3745.0
347,Lenovo,LOQ,Ryzen 5,512.0,16.0,Windows 11,62.99,PCI Express,4.0,3745.0
348,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.49,Integrated,4.2,3745.0
349,MSI,Cyborg 14,Intel Core i5,512.0,8.0,Windows 11 Home,56.99,PCI Express,5.0,3745.0
350,MSI,Thin 15,Core i5,512.0,8.0,Windows 11 Home,56.99,PCI Express,3.3,3745.0
351,ELV Direct,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,697.0,Integrated,4.4,3745.0
352,MegaStro,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,649.0,Integrated,4.4,3745.0
353,Dell,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.399,Integrated,4.1,3745.0
354,Logitech,HP Laptop,Core i3,512.0,16.0,"Mac,Windows",399.0,Integrated,4.4,3745.0
355,RODMED,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,149.0,Integrated,5.0,3745.0
356,Portronics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,798.0,Integrated,4.0,3745.0
357,Maxelon,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.849,Integrated,4.2,3745.0
358,Zupro,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,599.0,Integrated,3.5,3745.0
359,Lenovo,Yoga Slim 7,Intel Core i7,1000.0,32.0,Windows 11 Home,299.0,Integrated,4.1,3745.0
360,ASUS,ASUS Vivobook S 14,Intel Core Ultra 5,512.0,16.0,Windows 11 Home,94.99,Integrated,4.5,3745.0
361,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,699.0,Integrated,4.1,3745.0
362,Lenovo,HP Laptop,Core i3,512.0,16.0,Mac OS,167.0,Integrated,4.2,3745.0
363,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,999.0,Integrated,3.4,3745.0
364,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,699.0,Integrated,3.7,3745.0
365,Logitech,HP Laptop,Core i3,512.0,16.0,"Chromebook,Mac,Windows",699.0,Integrated,4.4,3745.0
366,Ceptics,PI-200C3U,Core i3,512.0,16.0,Windows 11 Home,2.199,Integrated,4.3,3745.0
367,Logitech,HP Laptop,Core i3,512.0,16.0,"Chromebook,Mac,Windows",699.0,Integrated,4.4,3745.0
368,ANCIARY,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,248.0,Integrated,3.6,3745.0
369,Lenovo,Yoga Slim 7,Intel Core i7,1000.0,32.0,Windows 11 Home,299.0,Integrated,4.8,3745.0
370,MSI,Katana A17 AI,Ryzen 9,512.0,16.0,Windows 11 Home,299.0,PCI Express,4.7,3745.0
